Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35,0,2,464,1,4,2,4,3,1,75,3,1,2,4,0,10910,1,0,12,3,3,1,1,3,3,1,0,0,0
27,0,2,1240,1,2,4,1,4,0,33,3,1,2,1,0,19715,1,0,13,3,4,1,1,6,3,1,0,0,0
26,1,2,1357,1,25,3,1,1,1,48,1,1,2,3,2,10558,1,0,12,3,3,0,1,2,2,1,0,0,1
27,0,1,994,2,8,3,1,4,1,37,3,3,7,3,2,2975,1,0,15,3,4,0,9,0,3,9,8,1,7
30,0,1,721,1,1,2,3,3,0,58,3,2,2,4,2,10781,1,0,23,4,4,0,12,2,3,12,8,3,7
41,1,2,1360,1,12,3,5,2,0,49,3,5,5,3,1,16280,1,0,12,3,4,0,23,0,3,22,15,15,8
34,0,0,1065,2,23,4,2,2,1,72,3,2,7,3,2,10034,0,0,20,4,3,0,10,2,3,9,5,8,7
37,0,2,408,1,19,2,1,2,1,73,3,1,6,2,1,10227,4,0,21,4,1,0,8,1,3,1,0,0,0
46,0,1,1211,2,5,4,2,1,1,98,3,2,7,4,2,20445,4,1,21,4,3,0,14,4,3,9,6,0,8
35,0,2,1229,1,8,1,1,4,1,36,4,1,2,4,1,4892,1,0,19,3,4,0,1,2,3,1,0,0,1
48,1,2,626,1,1,2,1,1,1,98,2,3,2,3,2,19294,9,1,13,3,4,0,23,2,3,1,0,0,0
28,1,2,1434,1,5,4,5,3,1,50,3,1,2,3,2,11179,1,1,13,3,3,0,2,3,2,2,2,2,2
44,0,2,1488,2,1,5,2,2,0,75,3,2,7,1,0,4009,5,1,21,4,3,1,9,2,2,4,3,1,3
35,0,0,1097,1,11,2,3,3,1,79,2,3,0,1,1,8302,2,1,13,3,3,1,10,3,3,4,0,2,3
26,0,2,1443,2,23,3,2,3,0,47,2,2,7,4,1,21436,7,1,19,3,3,1,5,2,2,2,2,0,0
33,0,1,515,1,1,2,1,1,0,98,3,3,5,4,2,15146,1,1,12,3,3,0,15,1,3,15,14,8,12
35,0,1,853,2,18,5,1,2,1,71,3,3,7,1,1,11031,1,0,22,4,4,1,9,3,2,9,8,1,8
35,0,2,1142,1,23,4,3,3,0,30,3,1,2,1,1,16002,3,1,15,3,3,1,4,3,3,2,2,2,2
31,0,2,655,1,7,4,1,4,1,48,3,2,2,4,0,9528,3,0,22,4,4,1,10,3,2,7,7,1,7
37,0,2,1115,1,1,4,1,1,1,51,2,2,4,3,0,2689,1,0,18,3,3,1,7,2,4,7,5,0,7
32,0,2,427,1,1,3,3,1,1,33,3,2,4,4,1,10877,1,1,22,4,2,1,9,3,3,9,8,7,8
38,0,1,653,1,29,5,1,4,0,50,3,2,2,4,2,5456,1,0,11,3,4,0,10,2,3,10,3,9,9
50,0,2,989,1,7,2,3,2,0,43,2,5,5,3,0,16701,5,1,12,3,4,1,29,2,2,27,3,13,8
59,0,2,1435,2,25,3,1,1,0,99,3,3,7,1,2,2354,7,0,11,3,4,0,28,3,2,21,16,7,9
36,0,2,1223,1,8,3,5,3,0,59,3,3,0,3,0,8202,1,0,13,3,2,3,17,2,3,17,14,12,8
55,0,2,836,1,8,3,3,4,0,33,3,4,3,3,0,19730,2,1,14,3,3,3,21,2,3,5,0,0,2
36,0,1,1195,1,11,3,1,2,1,95,2,2,4,2,2,22656,1,0,13,3,3,0,6,3,3,6,5,0,3
45,0,2,1339,1,7,3,1,2,1,59,3,3,6,1,0,18787,2,0,17,3,3,1,25,2,3,1,0,0,0
35,0,1,664,1,1,3,3,2,1,79,3,1,6,1,1,5868,4,0,13,3,4,1,5,2,2,3,2,1,2
36,1,2,318,1,9,3,3,4,1,79,2,1,6,3,1,21777,0,1,17,3,1,1,2,0,2,1,0,0,0
59,0,1,1225,2,1,1,1,1,0,57,2,2,7,3,2,24668,7,0,11,3,4,0,20,2,2,4,3,1,3
29,0,2,1328,1,2,3,1,3,1,76,3,1,6,2,1,4956,0,0,23,4,4,1,6,3,3,5,4,0,4
31,0,2,1082,1,1,4,3,3,1,87,3,1,6,2,2,18775,1,0,17,3,2,0,1,4,3,1,1,1,0
32,0,2,548,1,1,3,1,2,1,66,3,2,6,2,1,7346,1,0,17,3,2,2,10,3,3,10,4,0,9
36,0,2,132,1,6,3,1,2,0,55,4,1,2,4,1,22002,3,0,12,3,2,0,5,3,3,1,0,0,0
31,0,2,746,1,8,4,1,3,0,61,3,2,4,4,2,20682,1,0,23,4,4,0,11,2,3,11,7,1,8
35,0,2,776,2,1,4,2,3,1,32,2,2,7,1,2,23016,0,0,14,3,2,0,16,2,3,15,13,2,8
45,0,2,193,1,6,4,4,4,1,52,3,3,5,1,1,15067,4,1,14,3,2,0,17,3,4,0,0,0,0
37,0,2,397,1,7,4,3,1,1,30,3,3,5,3,2,25258,4,0,13,3,1,0,16,3,4,5,2,0,2
46,0,2,945,0,5,2,3,2,1,80,3,2,1,2,0,10425,8,1,22,4,4,1,16,2,3,4,2,0,2
30,0,2,852,1,1,1,1,4,1,55,2,2,2,4,1,15998,1,1,12,3,3,2,10,1,2,10,8,3,0
35,0,2,1214,1,1,3,3,2,1,30,2,1,6,3,2,26278,1,0,18,3,1,0,6,3,3,6,4,0,4
55,0,2,111,2,1,2,1,1,1,70,3,3,7,4,1,18092,3,0,14,3,4,1,24,4,3,1,0,1,0
38,0,0,573,1,6,3,3,2,0,79,1,2,6,4,0,15717,7,1,12,3,4,3,17,3,3,13,11,1,9
34,0,2,1153,1,1,2,3,1,1,94,3,2,4,2,1,17736,1,0,15,3,3,0,5,2,3,5,2,1,3
56,0,2,1400,1,7,3,1,4,1,49,1,3,4,4,2,21698,4,0,11,3,1,0,37,3,2,6,4,0,2
23,0,2,541,2,2,1,5,3,1,62,3,1,8,1,0,9518,3,0,13,3,3,1,3,3,3,0,0,0,0
51,0,2,432,1,9,4,1,4,1,96,3,1,2,4,1,18725,3,0,23,4,2,2,10,4,3,4,2,0,3
30,0,2,288,1,2,3,1,3,1,99,2,2,0,4,1,15830,1,0,19,3,1,3,11,3,3,11,10,10,8
46,1,2,669,2,9,2,3,3,1,64,2,3,7,4,2,13596,1,0,16,3,4,0,9,3,3,9,8,4,7
40,0,1,530,1,1,4,1,3,1,78,2,4,0,2,1,14115,1,0,22,4,4,1,22,3,2,22,3,11,11
51,0,2,632,2,21,4,2,3,1,71,3,2,7,4,2,8423,0,1,22,4,4,0,11,2,1,10,7,1,0
30,0,2,1334,2,4,2,3,3,0,63,2,2,7,2,0,19760,1,1,12,3,2,3,11,4,2,11,8,2,7
46,0,1,638,1,1,3,3,3,1,40,2,3,0,1,1,3142,2,1,13,3,3,1,21,5,2,10,9,9,5
32,0,2,1093,2,6,4,3,2,1,87,3,2,7,3,2,24301,1,0,16,3,1,0,12,0,3,11,8,5,7
54,0,2,1217,1,2,4,5,1,0,60,3,3,5,3,1,24001,9,0,12,3,1,1,16,5,1,4,3,0,3
24,0,2,1353,2,3,2,4,1,0,33,3,2,7,3,1,17519,0,0,21,4,1,1,4,2,2,3,2,0,2
28,0,0,120,2,4,3,3,2,1,43,3,2,7,3,1,8863,1,0,15,3,2,0,5,3,4,5,4,0,4
58,0,2,682,2,10,4,3,4,1,37,3,4,7,3,2,24409,0,0,13,3,3,0,38,1,2,37,10,1,8
44,0,0,489,1,23,3,3,2,1,67,3,2,2,2,1,25043,4,0,12,3,3,1,17,3,4,3,2,1,2
37,1,2,807,0,6,4,0,3,1,63,3,1,1,1,0,23648,4,1,22,4,4,0,7,3,3,3,2,0,2
32,0,2,827,1,1,1,1,4,1,71,3,1,6,1,2,15178,1,0,13,3,4,0,1,2,3,1,0,0,0
20,1,1,871,1,6,3,1,4,0,66,2,1,2,4,2,19783,1,1,18,3,2,0,1,5,3,1,0,1,0
34,0,2,665,1,6,4,4,1,0,41,3,2,6,3,2,12482,1,0,14,3,3,0,16,3,3,16,13,2,10
37,0,0,1040,1,2,2,1,3,1,100,2,2,0,4,0,15850,5,0,14,3,4,1,17,2,4,1,0,0,0
59,0,0,1420,0,2,4,0,3,0,32,2,5,3,4,1,21922,9,0,21,4,4,1,30,3,3,3,2,2,2
50,0,1,1115,1,1,3,1,1,0,73,3,5,5,2,1,9755,3,1,19,3,1,0,28,1,2,8,3,0,7
25,1,2,240,2,5,3,2,3,1,46,2,2,7,3,2,26959,1,1,11,3,4,0,6,1,3,6,4,0,3
25,0,2,1280,1,7,1,3,4,1,64,2,1,6,4,1,26897,1,0,11,3,3,2,2,2,3,2,2,2,1
22,0,2,534,1,15,3,3,2,0,59,3,1,2,4,2,23785,1,0,15,3,3,0,1,5,3,0,0,0,0
51,0,1,1456,1,1,4,3,1,0,30,2,3,0,1,2,25796,3,0,20,4,3,0,23,1,2,13,12,12,8
34,1,1,658,1,7,3,1,1,1,66,1,2,2,3,2,22887,1,1,24,4,4,0,9,3,3,9,7,0,6
54,0,0,142,0,26,3,0,4,0,30,4,4,3,4,2,13871,2,1,12,3,3,0,23,3,3,5,3,4,4
24,0,2,1127,1,18,1,1,2,1,52,3,1,2,3,1,13257,0,0,12,3,3,1,6,2,3,5,3,1,2
34,0,2,1031,1,6,4,1,3,0,45,2,2,6,2,0,15000,6,0,15,3,3,1,12,3,3,1,0,0,0
37,0,2,1189,2,3,3,1,3,1,87,3,3,7,4,2,14506,2,0,12,3,1,0,12,3,3,5,3,1,3
34,0,2,1354,1,5,3,3,3,0,45,2,3,3,1,2,5615,2,0,12,3,4,0,14,6,3,11,10,5,8
36,0,1,1467,2,11,2,5,2,0,92,3,3,7,4,1,22952,0,0,14,3,3,1,10,6,3,9,7,2,8
36,0,2,922,1,3,2,1,1,0,39,3,1,2,4,0,2561,5,0,22,4,1,1,7,2,3,1,0,0,0
43,0,1,394,2,26,2,1,3,1,92,3,4,3,4,1,19494,1,1,12,3,4,2,25,3,4,25,12,4,12
30,0,1,1312,1,23,3,1,1,1,96,1,1,6,3,0,22310,1,0,25,4,3,3,10,2,2,10,7,0,9
33,0,0,750,2,22,2,2,3,1,95,3,2,7,2,1,15480,0,0,13,3,1,1,8,2,4,7,7,0,7
56,1,2,441,1,14,4,1,2,0,72,3,1,6,2,1,4510,9,1,18,3,1,3,7,2,3,5,4,4,3
51,0,2,684,1,6,3,1,1,1,51,3,5,5,3,2,6462,7,0,13,3,3,0,23,5,3,20,18,15,15
31,1,2,249,2,6,4,1,2,1,76,1,2,7,3,1,20739,4,1,18,3,2,0,12,3,2,7,7,7,7
26,0,2,841,1,6,3,4,3,0,46,2,1,6,2,1,23300,1,0,19,3,3,0,5,3,2,5,4,4,3
58,1,2,147,1,23,4,3,4,0,94,3,3,0,4,1,3465,1,0,12,3,4,1,40,3,2,40,10,15,6
19,1,2,528,2,22,1,2,4,1,50,3,1,8,3,2,26820,1,1,19,3,4,0,0,2,2,0,0,0,0
22,0,2,594,1,2,1,5,3,1,100,3,1,2,4,1,19299,0,0,14,3,3,1,3,2,3,2,1,2,1
49,0,2,470,1,20,4,3,3,0,96,3,2,4,1,1,5549,1,0,14,3,3,0,16,2,2,15,11,5,11
43,0,1,957,1,28,3,3,2,0,72,4,1,6,3,2,16090,4,0,12,3,4,0,18,2,3,3,2,1,2
50,0,1,809,2,12,3,2,3,0,77,3,3,7,4,2,6645,4,0,11,3,4,0,16,3,3,2,2,2,1
31,1,2,542,2,20,3,1,2,0,71,1,2,7,3,1,24788,3,1,11,3,3,1,4,2,3,2,2,2,2
41,0,2,802,2,9,1,1,3,1,96,3,3,7,3,0,21196,3,1,13,3,3,1,12,2,3,9,7,0,7
26,0,2,1355,0,25,1,1,3,0,61,3,1,1,3,1,8916,1,0,23,4,4,1,8,3,3,8,7,5,7
36,0,2,216,1,6,2,3,2,1,84,3,2,4,2,0,2819,6,0,20,4,4,2,7,0,3,3,2,0,1
51,1,1,1150,1,8,4,1,1,1,53,1,3,4,4,2,25150,2,0,15,3,4,0,18,2,3,4,2,0,3
39,0,2,1329,2,4,4,1,4,0,47,2,2,7,3,1,14590,4,0,14,3,3,1,17,1,4,15,11,5,9
25,0,2,959,2,28,3,1,1,1,41,2,2,7,3,1,24835,2,0,18,3,4,0,6,3,3,2,2,2,2
30,0,2,1240,0,9,3,0,3,1,48,3,2,1,4,1,13982,0,1,19,3,4,0,12,2,1,11,9,4,7
32,1,2,1033,1,9,3,3,1,0,41,3,1,2,1,2,10224,7,0,22,4,1,0,10,2,4,5,4,0,4
45,0,2,1316,1,29,3,3,3,1,83,3,1,6,4,2,9752,5,0,13,3,2,0,9,2,2,6,5,0,3
38,0,2,364,1,3,5,5,4,0,32,3,2,6,3,2,2302,3,1,20,4,2,0,19,2,3,3,2,2,2
30,0,2,438,1,18,3,1,1,0,75,3,1,6,3,2,23910,1,0,14,3,3,0,5,4,2,5,4,0,4
32,0,1,689,2,9,2,3,4,1,35,1,2,7,4,0,22812,0,0,17,3,4,3,9,2,4,8,7,0,7
30,0,2,201,1,5,3,5,4,0,84,3,1,6,1,0,10415,5,0,14,3,4,1,8,3,3,3,2,2,2
30,0,2,1427,1,2,1,3,2,1,35,2,1,2,4,2,11162,0,0,13,3,4,0,6,3,3,5,3,1,2
41,0,1,857,1,10,3,1,4,1,91,2,4,3,1,0,12888,4,0,13,3,2,1,21,2,2,7,6,7,7
41,0,2,933,1,9,4,1,3,1,94,3,1,2,1,1,6961,2,0,21,4,4,1,7,2,3,5,0,1,4
19,0,2,1181,1,3,1,3,2,0,79,3,1,2,2,2,16102,1,0,14,3,4,0,1,3,3,1,0,0,0
40,0,1,1395,1,26,3,3,2,0,54,3,2,6,2,0,8504,1,0,11,3,1,1,20,2,3,20,7,2,13
35,0,2,662,2,1,5,2,3,1,94,3,3,7,2,1,11439,1,0,13,3,1,2,10,3,3,10,8,0,6
53,0,2,1436,2,6,2,2,2,1,34,3,2,8,3,1,16047,2,1,20,4,4,1,13,3,1,7,7,4,5
45,0,2,194,1,9,3,1,2,1,60,3,2,2,2,0,10901,8,0,18,3,3,1,20,2,1,17,9,0,15
32,0,1,967,2,8,3,2,2,0,43,3,3,7,4,2,15589,1,0,14,3,4,0,9,2,3,9,8,3,7
29,0,0,1496,1,1,1,5,4,1,41,3,2,4,3,1,26283,1,0,13,3,1,1,10,1,3,10,7,0,9
51,0,2,1169,1,7,4,3,2,1,34,2,2,4,3,1,13983,2,0,17,3,3,0,10,2,3,1,0,0,0
58,0,2,1145,1,9,3,3,2,0,75,2,1,6,2,1,11873,4,1,20,4,2,1,9,3,2,1,0,0,0
40,0,2,630,2,4,4,2,3,1,67,2,3,7,4,1,8552,7,0,11,3,1,1,15,2,2,12,11,2,11
34,0,1,303,2,2,4,2,3,0,75,3,1,8,3,1,11314,6,0,18,3,4,1,6,3,3,4,3,1,2
22,0,2,1256,1,19,1,3,3,1,80,3,1,6,4,1,11992,1,0,24,4,1,2,2,6,3,2,2,2,2
27,0,0,691,1,9,3,3,4,1,57,3,1,6,2,0,5970,6,0,18,3,4,1,6,1,1,2,2,2,2
28,0,2,440,1,21,3,3,3,1,42,3,1,6,4,1,6672,1,0,11,3,3,1,5,2,1,5,2,0,2
57,0,2,334,1,24,2,1,3,1,83,4,3,0,4,0,23402,3,1,16,3,2,1,12,2,1,5,3,1,4
27,0,0,1450,1,3,3,3,3,1,79,2,1,6,3,0,25326,1,1,15,3,4,1,1,2,2,1,1,0,1
50,0,2,1452,1,11,3,1,3,0,53,3,5,3,2,2,17053,3,0,15,3,2,0,21,5,3,5,4,4,4
41,0,2,465,1,14,3,1,1,1,56,3,1,6,3,0,4609,4,0,12,3,1,1,13,2,3,9,8,1,8
30,0,2,1339,2,5,3,1,2,0,41,3,3,7,4,1,8053,2,0,12,3,3,1,12,2,3,10,9,7,4
38,0,2,702,2,1,4,1,1,0,59,2,2,7,4,2,12930,4,0,22,4,3,0,12,2,4,8,3,0,7
32,0,2,120,1,6,5,1,3,1,43,3,1,6,3,2,12430,3,0,20,4,1,0,8,2,3,5,4,1,4
27,0,2,1157,1,17,3,5,3,1,51,3,1,6,2,1,13364,0,1,16,3,4,1,6,3,2,5,2,1,1
19,1,1,602,2,1,1,5,3,0,100,1,1,8,1,2,20989,0,0,21,4,1,0,1,5,4,0,0,0,0
36,0,1,1480,1,3,2,3,4,1,30,3,1,2,2,2,15062,4,0,12,3,3,0,13,3,2,8,7,7,2
30,0,0,111,1,9,3,3,3,1,66,3,2,2,1,0,11012,1,0,11,3,3,2,12,4,3,12,9,6,10
45,0,2,1268,2,4,2,1,3,0,30,3,2,7,1,0,6319,4,1,11,3,1,1,9,3,4,5,4,0,3
56,0,2,713,1,8,3,1,3,0,67,3,1,6,1,0,13939,4,1,18,3,3,1,19,3,3,2,2,2,2
33,0,2,134,1,2,3,1,3,1,90,3,1,6,4,2,10515,0,0,14,3,1,0,4,2,4,3,1,0,2
19,1,2,303,1,2,3,1,2,1,47,2,1,2,4,2,9241,1,0,22,4,3,0,1,3,2,1,0,1,0
46,0,2,526,2,1,2,2,2,0,92,3,3,7,1,0,2137,1,0,25,4,3,3,24,2,3,24,13,15,7
38,0,2,1380,1,9,2,1,3,0,75,3,1,2,4,2,6319,1,0,12,3,3,0,2,3,3,2,2,2,1
31,0,2,140,1,12,1,3,3,0,95,3,1,6,4,1,6984,8,1,23,4,3,1,7,0,3,4,2,0,2
34,0,2,629,1,27,2,3,4,0,95,3,1,6,2,2,5711,2,0,15,3,4,0,9,3,3,3,2,1,2
41,1,2,1356,2,20,2,2,2,0,70,3,1,8,2,2,21728,1,1,22,4,4,0,4,5,2,4,3,0,2
50,0,2,328,1,1,3,3,3,1,86,2,1,2,3,1,3425,2,0,15,3,4,1,5,2,2,3,2,0,2
53,0,2,1084,1,13,2,3,4,0,57,4,2,4,1,0,26250,1,0,11,3,3,2,5,3,3,4,2,1,3
33,0,2,931,1,14,3,3,4,0,72,3,1,6,2,1,4673,1,0,13,3,4,1,8,5,3,8,7,1,6
40,0,2,989,1,4,1,3,4,0,46,3,5,3,3,1,6499,1,0,14,3,2,1,21,2,3,20,8,9,9
55,0,2,692,1,14,4,3,3,1,61,4,5,5,2,2,13339,8,0,11,3,4,0,36,3,3,24,15,2,15
34,0,1,1069,1,2,1,1,4,1,45,2,2,4,3,1,14074,1,0,17,3,3,0,10,2,2,10,9,1,9
51,0,2,313,1,3,3,3,4,0,98,3,4,0,2,2,7192,3,0,18,3,3,0,21,6,3,7,7,1,0
52,0,2,699,1,1,4,1,3,1,65,2,5,3,3,1,5678,0,0,14,3,1,1,34,5,3,33,18,11,9
27,0,2,894,1,9,3,3,4,0,99,3,1,6,2,2,11781,1,0,16,3,4,0,7,2,2,7,7,0,3
35,1,2,556,1,23,2,1,2,1,50,2,2,4,3,1,15497,3,1,13,3,1,0,8,1,3,1,0,0,1
43,0,0,1344,1,7,3,3,4,1,37,4,1,6,4,0,5228,4,0,14,3,4,3,7,3,4,5,4,2,2
45,0,0,1195,1,2,2,3,1,1,65,2,4,3,4,1,20462,9,0,23,4,4,1,22,1,3,20,8,11,8
37,0,2,290,1,21,3,1,2,1,65,4,1,6,1,1,22977,1,1,12,3,1,1,8,3,2,8,7,1,7
35,0,1,138,1,2,3,3,2,0,37,3,2,2,2,2,15986,5,0,11,3,4,0,10,5,3,6,2,1,2
42,0,0,926,1,21,2,3,3,0,36,3,2,4,3,0,16439,2,0,16,3,2,1,11,5,3,5,3,0,2
38,0,2,1261,1,2,4,1,4,1,88,3,2,4,3,1,7259,9,0,14,3,2,0,14,3,3,1,0,0,0
38,0,2,1084,1,29,3,5,4,1,54,3,2,4,4,1,4185,3,0,18,3,1,1,9,3,1,7,7,1,7
27,0,1,472,1,1,1,5,3,1,60,2,2,4,1,1,9679,5,0,19,3,3,1,6,1,3,2,2,2,0
49,0,0,1002,1,18,4,1,4,1,92,3,2,4,4,0,23793,1,1,15,3,1,2,7,0,3,7,7,1,7
34,0,1,878,1,10,4,3,4,1,43,3,1,6,3,0,5972,1,1,17,3,4,1,5,4,4,5,3,2,0
40,0,2,905,1,19,2,3,3,1,99,3,2,2,4,1,16523,8,1,15,3,3,1,15,2,4,7,2,3,7
38,1,2,1180,1,29,1,3,2,1,70,3,2,0,1,1,11354,7,1,19,3,2,0,17,2,3,1,0,0,0
29,1,2,121,2,27,3,2,2,0,35,3,3,7,4,1,24525,1,0,22,4,4,3,10,3,2,10,4,1,9
22,0,2,1136,1,5,3,1,4,1,60,4,1,6,2,0,12392,1,1,16,3,1,1,4,2,2,4,2,2,2
36,0,1,635,1,18,1,3,2,0,73,3,1,2,4,2,7703,1,0,13,3,1,0,8,2,3,8,1,1,7
40,0,0,1151,1,9,5,1,4,1,63,2,2,0,4,1,14242,9,0,14,3,4,1,5,5,1,3,2,0,2
46,0,2,644,1,1,4,3,4,1,97,3,3,0,1,0,12368,7,0,16,3,3,1,17,3,3,4,2,0,3
32,1,2,1045,2,4,4,3,4,1,32,1,3,7,4,1,25812,1,0,11,3,3,0,14,2,2,14,8,9,8
30,0,0,829,1,1,1,1,3,1,88,2,3,4,3,2,20925,1,0,22,4,3,0,12,2,3,11,8,5,8
27,0,1,1242,2,20,3,1,4,0,90,3,2,7,3,2,12916,1,0,14,3,4,0,7,2,3,7,7,0,7
51,0,2,1469,1,8,4,1,2,1,81,2,3,5,2,1,15736,5,0,16,3,4,2,16,5,1,10,9,4,7
30,1,2,1005,1,3,3,5,4,0,88,3,1,6,1,2,8556,5,1,11,3,3,0,8,5,3,5,2,0,4
41,0,2,896,2,6,3,1,4,0,75,3,3,3,4,2,14674,3,1,18,3,3,0,16,3,3,1,0,0,0
30,1,1,334,2,26,4,2,3,0,52,2,2,7,1,2,22967,5,0,15,3,3,0,9,5,2,6,3,0,1
29,1,2,992,1,1,3,5,3,1,85,3,1,6,3,2,19757,0,0,14,3,4,0,7,1,2,6,2,1,5
45,0,0,1052,2,6,3,3,4,0,57,2,3,7,4,2,16840,6,0,12,3,4,0,23,2,3,19,7,12,8
54,0,2,1147,2,3,3,2,4,0,52,3,2,7,1,1,17011,2,0,14,3,4,1,16,4,3,6,2,0,5
